country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Costa Rica,CRI,2021-02-01,57701.0,45863.0,11838.0,,1368.0,1.13,0.9,0.23,269.0,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Costa Rica,CRI,2021-02-02,,,,,1528.0,,,,300.0,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Costa Rica,CRI,2021-02-03,,,,,1688.0,,,,331.0,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Costa Rica,CRI,2021-02-04,,,,,1848.0,,,,363.0,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Costa Rica,CRI,2021-02-05,,,,,2007.0,,,,394.0,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Costa Rica,CRI,2021-02-06,,,,,2167.0,,,,425.0,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Costa Rica,CRI,2021-02-07,,,,,2327.0,,,,457.0,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Costa Rica,CRI,2021-02-08,75113.0,46750.0,28363.0,,2487.0,1.47,0.92,0.56,488.0,Pfizer/BioNTech,National Health Commission,https://twitter.com/CarlosAlvQ/status/1358890771701633025
Croatia,HRV,2020-12-30,7864.0,7864.0,,,,0.19,0.19,,,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2020-12-31,,,,,1105.0,,,,269.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-01,,,,,1105.0,,,,269.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-02,,,,,1105.0,,,,269.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-03,12285.0,12285.0,,,1105.0,0.3,0.3,,269.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-04,,,,,1036.0,,,,252.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-05,13798.0,13798.0,,,989.0,0.34,0.34,,241.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-06,,,,,1334.0,,,,325.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-07,20603.0,20603.0,,,1662.0,0.5,0.5,,405.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-08,24985.0,24985.0,,4382.0,2130.0,0.61,0.61,,519.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-09,30000.0,30000.0,,5015.0,2689.0,0.73,0.73,,655.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-10,,,,,2693.0,,,,656.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-11,,,,,2748.0,,,,669.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-12,,,,,2802.0,,,,683.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-13,34553.0,34553.0,,,2479.0,0.84,0.84,,604.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-14,38000.0,38000.0,,3447.0,2485.0,0.93,0.93,,605.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-15,41532.0,41532.0,,3532.0,2364.0,1.01,1.01,,576.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-16,45906.0,45906.0,,4374.0,2272.0,1.12,1.12,,553.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-17,,,,,2510.0,,,,611.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-18,,,,,2747.0,,,,669.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-19,54304.0,54304.0,,,2984.0,1.32,1.32,,727.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-20,,,,,3329.0,,,,811.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-21,,,,,3343.0,,,,814.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-22,64951.0,,,,3346.0,1.58,,,815.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-23,,,,,2960.0,,,,721.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-24,,,,,2800.0,,,,682.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-25,69984.0,58077.0,11907.0,,2640.0,1.7,1.41,0.29,643.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-26,,,,,2598.0,,,,633.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-27,,,,,2448.0,,,,596.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-28,,,,,2299.0,,,,560.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-29,80000.0,,,,2150.0,1.95,,,524.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-30,,,,,2097.0,,,,511.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-01-31,,,,,2045.0,,,,498.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-02-01,83928.0,58829.0,25099.0,,1992.0,2.04,1.43,0.61,485.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-02-02,,,,,1920.0,,,,468.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-02-03,87929.0,59064.0,28865.0,,1848.0,2.14,1.44,0.7,450.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Croatia,HRV,2021-02-04,95505.0,59593.0,35912.0,7576.0,2573.0,2.33,1.45,0.87,627.0,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/u-hrvatskoj-zabiljezeno-549-novih-slucajeva-zaraze-koronavirusom-sutra-dolazi-cjepivo-astrazenece/31456
Cyprus,CYP,2021-01-06,3901.0,,,,,0.45,,,,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-07,,,,,534.0,,,,610.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-08,,,,,534.0,,,,610.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-09,,,,,534.0,,,,610.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-10,6035.0,,,,534.0,0.69,,,610.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-11,,,,,594.0,,,,678.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-12,,,,,635.0,,,,725.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-13,,,,,664.0,,,,758.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-14,,,,,708.0,,,,808.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-15,10226.0,,,,751.0,1.17,,,857.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-16,,,,,821.0,,,,937.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-17,,,,,891.0,,,,1017.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-18,,,,,917.0,,,,1047.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-19,,,,,943.0,,,,1077.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-20,,,,,969.0,,,,1106.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-21,,,,,996.0,,,,1137.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-22,17379.0,15322.0,2057.0,,1022.0,1.98,1.75,0.23,1167.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-23,,,,,1035.0,,,,1182.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-24,,,,,1048.0,,,,1196.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-25,,,,,1061.0,,,,1211.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-26,,,,,1074.0,,,,1226.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-27,,,,,1087.0,,,,1241.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-28,,,,,1100.0,,,,1256.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-29,25168.0,19617.0,5551.0,,1113.0,2.87,2.24,0.63,1271.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-30,,,,,1110.0,,,,1267.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-01-31,,,,,1108.0,,,,1265.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-02-01,,,,,1105.0,,,,1262.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-02-02,,,,,1103.0,,,,1259.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-02-03,,,,,1100.0,,,,1256.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-02-04,,,,,1098.0,,,,1254.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Cyprus,CYP,2021-02-05,32837.0,22813.0,10024.0,,1096.0,3.75,2.6,1.14,1251.0,Pfizer/BioNTech,Ministry of Health,https://www.financialmirror.com/2021/02/06/covid19-record-tests-as-cyprus-prepares-to-open-shops/
Czechia,CZE,2020-12-27,1257.0,1257.0,,,,0.01,0.01,,,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2020-12-28,3540.0,3540.0,,2283.0,2283.0,0.03,0.03,,213.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2020-12-29,6997.0,6997.0,,3457.0,2870.0,0.07,0.07,,268.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2020-12-30,10460.0,10460.0,,3463.0,3068.0,0.1,0.1,,286.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2020-12-31,11765.0,11765.0,,1305.0,2627.0,0.11,0.11,,245.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-01,12027.0,12027.0,,262.0,2154.0,0.11,0.11,,201.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-02,13283.0,13283.0,,1256.0,2004.0,0.12,0.12,,187.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-03,14198.0,14198.0,,915.0,1849.0,0.13,0.13,,173.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-04,17765.0,17765.0,,3567.0,2032.0,0.17,0.17,,190.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-05,22270.0,22270.0,,4505.0,2182.0,0.21,0.21,,204.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-06,28070.0,28070.0,,5800.0,2516.0,0.26,0.26,,235.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-07,36003.0,36003.0,,7933.0,3463.0,0.34,0.34,,323.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-08,45939.0,45939.0,,9936.0,4845.0,0.43,0.43,,452.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-09,47931.0,47931.0,,1992.0,4950.0,0.45,0.45,,462.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-10,49643.0,49643.0,,1712.0,5064.0,0.46,0.46,,473.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-11,59401.0,59401.0,,9758.0,5948.0,0.55,0.55,,555.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-12,72746.0,72746.0,,13345.0,7211.0,0.68,0.68,,673.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-13,86195.0,86195.0,,13449.0,8304.0,0.8,0.8,,775.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-14,101227.0,101227.0,,15032.0,9318.0,0.95,0.95,,870.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-15,114946.0,114946.0,,13719.0,9858.0,1.07,1.07,,921.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-16,118260.0,118260.0,,3314.0,10047.0,1.1,1.1,,938.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-17,121319.0,120697.0,622.0,3059.0,10239.0,1.13,1.13,0.01,956.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-18,135244.0,132850.0,2394.0,13925.0,10835.0,1.26,1.24,0.02,1012.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-19,149941.0,144864.0,5077.0,14697.0,11028.0,1.4,1.35,0.05,1030.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-20,165448.0,157804.0,7644.0,15507.0,11322.0,1.54,1.47,0.07,1057.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-21,182031.0,172681.0,9350.0,16583.0,11543.0,1.7,1.61,0.09,1078.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-22,197322.0,186977.0,10345.0,15291.0,11768.0,1.84,1.75,0.1,1099.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-23,200977.0,189794.0,11183.0,3655.0,11817.0,1.88,1.77,0.1,1103.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-24,204036.0,191997.0,12039.0,3059.0,11817.0,1.91,1.79,0.11,1103.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-25,216395.0,201451.0,14944.0,12359.0,11593.0,2.02,1.88,0.14,1083.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-26,230585.0,211713.0,18872.0,14190.0,11521.0,2.15,1.98,0.18,1076.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-27,243827.0,220498.0,23329.0,13242.0,11197.0,2.28,2.06,0.22,1046.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-28,256865.0,227492.0,29373.0,13038.0,10691.0,2.4,2.12,0.27,998.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-29,270579.0,233498.0,37081.0,13714.0,10465.0,2.53,2.18,0.35,977.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-30,272360.0,234212.0,38148.0,1781.0,10198.0,2.54,2.19,0.36,952.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-01-31,274174.0,234906.0,39268.0,1814.0,10020.0,2.56,2.19,0.37,936.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-01,285467.0,238556.0,46911.0,11293.0,9867.0,2.67,2.23,0.44,921.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-02,299309.0,242566.0,56743.0,13842.0,9818.0,2.79,2.27,0.53,917.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-03,314316.0,246798.0,67518.0,15007.0,10070.0,2.94,2.3,0.63,940.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-04,331404.0,251234.0,80170.0,17088.0,10648.0,3.09,2.35,0.75,994.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-05,346360.0,255863.0,90497.0,14956.0,10826.0,3.23,2.39,0.85,1011.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-06,349484.0,256695.0,92789.0,3124.0,11018.0,3.26,2.4,0.87,1029.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-07,352606.0,257516.0,95090.0,3122.0,11205.0,3.29,2.4,0.89,1046.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2021-02-08,365712.0,260615.0,105097.0,13106.0,11464.0,3.42,2.43,0.98,1071.0,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,2020-12-27,6647.0,6647.0,,,,0.11,0.11,,,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-08022021-dyt6
